COUNTYNS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
00974148,36101,Steuben County,H1,A,3601398422,35039875,+42.2667252,-77.3855253,1,Polygon
00974143,36091,Saratoga County,H1,A,2097812305,87488004,+43.1061353,-73.8553872,2,Polygon
00974100,36003,Allegany County,H1,A,2666225086,12989848,+42.2478532,-78.0261531,3,Polygon
00974136,36075,Oswego County,H1,A,2464629969,933476017,+43.4614431,-76.2092618,4,Polygon
00974153,36111,Ulster County,H1,A,2911757764,94596811,+41.9472124,-74.2654582,5,Polygon
00977309,36089,St. Lawrence County,H1,A,6939601205,367206795,+44.4881125,-75.0743110,6,Polygon
00974146,36097,Schuyler County,H1,A,850405403,36246373,+42.4197755,-76.9386030,7,Polygon
00974114,36031,Essex County,H1,A,4646753187,316350562,+44.1096005,-73.7784307,8,Polygon
00974149,36103,Suffolk County,H1,A,2359242298,3787452993,+40.9435540,-72.6922183,9,Polygon
00974119,36041,Hamilton County,H1,A,4447989312,234204424,+43.6578786,-74.5024556,10,Polygon
00974112,36027,Dutchess County,H1,A,2060598612,76906718,+41.7548253,-73.7400136,11,Polygon
00974137,36077,Otsego County,H1,A,2594487152,36314099,+42.6297762,-75.0288410,12,Polygon
00974152,36109,Tompkins County,H1,A,1229316849,43785776,+42.4530063,-76.4734835,13,Polygon
00974099,36001,Albany County,H1,A,1354273421,26971925,+42.5882401,-73.9740095,14,Polygon
00974104,36011,Cayuga County,H1,A,1791201989,445696708,+43.0085456,-76.5745866,15,Polygon
00974118,36039,Greene County,H1,A,1676140500,28201061,+42.2798211,-74.1420253,16,Polygon
00974120,36043,Herkimer County,H1,A,3653400318,120358453,+43.5710090,-74.8410968,17,Polygon
00974154,36113,Warren County,H1,A,2246093480,166839689,+43.5551053,-73.8381388,18,Polygon
00974121,36045,Jefferson County,H1,A,3283879458,1524564723,+43.9963890,-76.0529678,19,Polygon
00974108,36019,Clinton County,H1,A,2687763026,206582000,+44.7527120,-73.7056429,20,Polygon
00974128,36059,Nassau County,H1,A,736959587,437291722,+40.7296118,-73.5894144,21,Polygon
00974125,36053,Madison County,H1,A,1696054036,16691322,+42.9100255,-75.6635749,22,Polygon
00974155,36115,Washington County,H1,A,2152770306,38126377,+43.3123766,-73.4394282,23,Polygon
00974157,36119,Westchester County,H1,A,1115568226,179637635,+41.1526862,-73.7457526,24,Polygon
00974123,36049,Lewis County,H1,A,3306017158,39659426,+43.7826811,-75.4441402,25,Polygon
00974133,36069,Ontario County,H1,A,1668147120,47854414,+42.8563575,-77.3034967,26,Polygon
00974110,36023,Cortland County,H1,A,1291817953,7110638,+42.5940390,-76.0762398,27,Polygon
00974141,36085,Richmond County,H6,C,148982680,117441533,+40.5612628,-74.1398995,28,Polygon
00974113,36029,Erie County,H1,A,2700660508,476879106,+42.7527590,-78.7781922,29,Polygon
00974138,36079,Putnam County,H1,A,596349758,41229989,+41.4279067,-73.7438608,30,Polygon
00974127,36057,Montgomery County,H1,A,1044051406,18614750,+42.9008912,-74.4353575,31,Polygon
00974150,36105,Sullivan County,H1,A,2507484145,73737483,+41.7199928,-74.7715769,32,Polygon
00974135,36073,Orleans County,H1,A,1013366838,1103741900,+43.3399059,-78.2070281,33,Polygon
00974131,36065,Oneida County,H1,A,3140213529,117357247,+43.2427273,-75.4342824,34,Polygon
00974103,36009,Cattaraugus County,H1,A,3388125876,36783591,+42.2390986,-78.6623320,35,Polygon
00974159,36123,Yates County,H1,A,875777224,97488350,+42.6382370,-77.1043238,36,Polygon
00974151,36107,Tioga County,H1,A,1343600016,11044570,+42.1780565,-76.2974556,37,Polygon
00974126,36055,Monroe County,H1,A,1701487467,1838259078,+43.2503466,-77.7005177,38,Polygon
00974145,36095,Schoharie County,H1,A,1610503552,11676951,+42.5912940,-74.4381718,39,Polygon
00974102,36007,Broome County,H1,A,1827594819,25109986,+42.1619773,-75.8302833,40,Polygon
00974140,36083,Rensselaer County,H1,A,1689859763,33525770,+42.7104206,-73.5138454,41,Polygon
00974147,36099,Seneca County,H1,A,838372770,172818530,+42.7822943,-76.8270880,42,Polygon
00974139,36081,Queens County,H6,C,281594049,188444349,+40.6546581,-73.8412089,43,Polygon
00974117,36037,Genesee County,H1,A,1276705561,6137411,+43.0009096,-78.1927784,44,Polygon
00974156,36117,Wayne County,H1,A,1563912969,2018185131,+43.2181139,-77.0494024,45,Polygon
00974130,36063,Niagara County,H1,A,1352887560,1598842379,+43.2726719,-78.8129431,46,Polygon
00974122,36047,Kings County,H6,C,179684484,71158757,+40.6350451,-73.9506398,47,Polygon
00974106,36015,Chemung County,H1,A,1054988440,8875327,+42.1486972,-76.7524712,48,Polygon
00974158,36121,Wyoming County,H1,A,1535219438,9158067,+42.7013627,-78.2285667,49,Polygon
00974129,36061,New York County,H6,C,58683562,29010735,+40.7766419,-73.9701871,50,Polygon
00974109,36021,Columbia County,H1,A,1643770717,35071400,+42.2476964,-73.6267175,51,Polygon
00974105,36013,Chautauqua County,H1,A,2746454150,1139025723,+42.3042159,-79.4075949,52,Polygon
00974115,36033,Franklin County,H1,A,4219857155,176622254,+44.5943758,-74.3106700,53,Polygon
00974132,36067,Onondaga County,H1,A,2016027798,70512843,+43.0065163,-76.1961336,54,Polygon
00974107,36017,Chenango County,H1,A,2314393901,13046917,+42.4780238,-75.6022407,55,Polygon
00974116,36035,Fulton County,H1,A,1283234687,96916403,+43.1156093,-74.4236782,56,Polygon
00974142,36087,Rockland County,H1,A,449841002,66919665,+41.1546276,-74.0246616,57,Polygon
00974124,36051,Livingston County,H1,A,1636254771,22005356,+42.7290418,-77.7784630,58,Polygon
00974111,36025,Delaware County,H1,A,3736306657,64163829,+42.1939865,-74.9667281,59,Polygon
00974134,36071,Orange County,H1,A,2103267971,67958489,+41.4024096,-74.3062522,60,Polygon
00974144,36093,Schenectady County,H1,A,530089712,12366944,+42.8175516,-74.0435592,61,Polygon
00974101,36005,Bronx County,H6,C,109233466,39353304,+40.8487111,-73.8529390,62,Polygon
